tener (pluscuamperfecto)	yo había tenido<br>tú habías tenido<br>él, ella, Ud. había tenido<br>nosotros habíamos tenido<br>vosotros habíais tenido<br>ellos, ellas, Uds. habían tenido<br>vos habías tenido	pluscuamperfecto
tener (futuro perfecto)	yo habré tenido<br>tú habrás tenido<br>él, ella, Ud. habrá tenido<br>nosotros habremos tenido<br>vosotros habréis tenido<br>ellos, ellas, Uds. habrán tenido<br>vos habrás tenido	futuro perfecto
tener (condicional perfecto)	yo habría tenido<br>tú habrías tenido<br>él, ella, Ud. habría tenido<br>nosotros habríamos tenido<br>vosotros habríais tenido<br>ellos, ellas, Uds. habrían tenido<br>vos habrías tenido	condicional perfecto
tener (subjuntivo presente)	yo tenga<br>tú tengas<br>él, ella, Ud. tenga<br>nosotros tengamos<br>vosotros tengáis<br>ellos, ellas, Uds. tengan<br>vos tengas	subjuntivo presente
tener (subjuntivo imperfecto)	yo tuviera o tuviese<br>tú tuvieras o tuvieses<br>él, ella, Ud. tuviera o tuviese<br>nosotros tuviéramos o tuviésemos<br>vosotros tuvierais o tuvieseis<br>ellos, ellas, Uds. tuvieran o tuviesen<br>vos tuvieras o tuvieses	subjuntivo imperfecto
tener (subjuntivo futuro)	yo tuviere<br>tú tuvieres<br>él, ella, Ud. tuviere<br>nosotros tuviéremos<br>vosotros tuviereis<br>ellos, ellas, Uds. tuvieren<br>vos tuvieres	subjuntivo futuro
tener (subjuntivo pretérito perfecto)	yo haya tenido<br>tú hayas tenido<br>él, ella, Ud. haya tenido<br>nosotros hayamos tenido<br>vosotros hayáis tenido<br>ellos, ellas, Uds. hayan tenido<br>vos hayas tenido	subjuntivo pretérito perfecto
tener (subjuntivo pluscuamperfecto)	yo hubiera o hubiese tenido<br>tú hubieras o hubieses tenido<br>él, ella, Ud. hubiera o hubiese tenido<br>nosotros hubiéramos o hubiésemos tenido<br>vosotros hubierais o hubieseis tenido<br>ellos, ellas, Uds. hubieran o hubiesen tenido<br>vos hubieras o hubieses tenido	subjuntivo pluscuamperfecto
tener (subjuntivo futuro perfecto)	yo hubiere tenido<br>tú hubieres tenido<br>él, ella, Ud. hubiere tenido<br>nosotros hubiéremos tenido<br>vosotros hubiereis tenido<br>ellos, ellas, Uds. hubieren tenido<br>vos hubieres tenido	subjuntivo futuro perfecto
tener (imperativo afirmativo)	yo –<br>tú ¡ten!<br>él, ella, Ud. ¡tenga!<br>nosotros ¡tengamos!<br>vosotros ¡tened!<br>ellos, ellas, Uds. ¡tengan!<br>vos ¡tené!	imperativo afirmativo
tener (imperativo negativo)	yo –<br>tú ¡no tengas!<br>él, ella, Ud. ¡no tenga!<br>nosotros ¡no tengamos!<br>vosotros ¡no tengáis!<br>ellos, ellas, Uds. ¡no tengan!<br>vos ¡no tengas!	imperativo negativo
hacer (presente)	yo hago<br>tú haces<br>él, ella, Ud. hace<br>nosotros hacemos<br>vosotros hacéis<br>ellos, ellas, Uds. hacen<br>vos hacés	presente
hacer (imperfecto)	yo hacía<br>tú hacías<br>él, ella, Ud. hacía<br>nosotros hacíamos<br>vosotros hacíais<br>ellos, ellas, Uds. hacían<br>vos hacías	imperfecto
hacer (pretérito)	yo hice<br>tú hiciste<br>él, ella, Ud. hizo<br>nosotros hicimos<br>vosotros hicisteis<br>ellos, ellas, Uds. hicieron<br>vos hiciste	pretérito
hacer (futuro)	yo haré<br>tú harás<br>él, ella, Ud. hará<br>nosotros haremos<br>vosotros haréis<br>ellos, ellas, Uds. harán<br>vos harás	futuro
hacer (condicional)	yo haría<br>tú harías<br>él, ella, Ud. haría<br>nosotros haríamos<br>vosotros haríais<br>ellos, ellas, Uds. harían<br>vos harías	condicional
hacer (pretérito anterior)	yo hube hecho<br>tú hubiste hecho<br>él, ella, Ud. hubo hecho<br>nosotros hubimos hecho<br>vosotros hubisteis hecho<br>ellos, ellas, Uds. hubieron hecho<br>vos hubiste hecho	pretérito anterior
hacer (pretérito perfecto)	yo he hecho<br>tú has hecho<br>él, ella, Ud. ha hecho<br>nosotros hemos hecho<br>vosotros habéis hecho<br>ellos, ellas, Uds. han hecho<br>vos has hecho	pretérito perfecto
hacer (pluscuamperfecto)	yo había hecho<br>tú habías hecho<br>él, ella, Ud. había hecho<br>nosotros habíamos hecho<br>vosotros habíais hecho<br>ellos, ellas, Uds. habían hecho<br>vos habías hecho	pluscuamperfecto
